country,year,unemployment_rate,gdp_usd,total_cases,total_deaths
germany,2023,3.07,4530000000000.0,13980247134,63351757
ghana,2020,3.31,70008243860.0,8583770,30634
ghana,2021,3.38,79514204730.0,37422666,315545
ghana,2022,3.08,73919003210.0,60059412,526609
ghana,2023,3.06,80547146878.0,62618974,533616
greece,2020,15.9,191000000000.0,7956907,200860
greece,2021,14.66,218000000000.0,177720841,4372546
greece,2022,12.43,219000000000.0,1329271226,10928626
greece,2023,11.07,243000000000.0,1947474164,13534148
guam,2020,6.25,5916000000.0,579146,9761
guam,2021,5.99,6234000000.0,3589221,60473
guam,2022,5.45,6910000000.0,15224979,132759
guatemala,2020,2.96,77719464221.0,15973837,568345
guatemala,2021,2.17,86455519687.0,129919968,3658631
guatemala,2022,3.05,95641441235.0,344670353,6713961
guatemala,2023,2.34,104000000000.0,454192307,7365105
guinea,2020,6.02,14088693743.0,2094961,12594
guinea,2021,5.83,17069115738.0,8770284,82392
guinea,2022,5.27,19910452542.0,13519486,162012
guinea,2023,5.24,22407615556.0,14048211,170715
guinea-bissau,2020,2.89,1683619352.0,477434,7253
guinea-bissau,2021,3.03,1878659687.0,1644534,32449
guinea-bissau,2022,2.67,1839048748.0,3036325,62141
guinea-bissau,2023,2.65,2077816135.0,3451311,64500
guyana,2020,15.33,5471256595.0,517819,15601
guyana,2021,14.56,8041362110.0,7576754,186161
guyana,2022,12.01,14718388489.0,24015400,451926
guyana,2023,12.03,16918503597.0,26766783,473687
haiti,2020,15.55,14508222518.0,1665250,39990
haiti,2021,15.28,20877414953.0,6517284,165919
haiti,2022,14.64,20253551921.0,11578095,305077
haiti,2023,14.56,19850585722.0,12483196,313900
honduras,2020,10.98,23352232484.0,13815273,398226
honduras,2021,8.51,28144331507.0,97316690,2567010
honduras,2022,8.77,31426041807.0,157708469,3970924
honduras,2023,6.07,34355805528.0,172349697,4055532
hungary,2020,4.25,158000000000.0,14655495,425041
hungary,2021,4.05,183000000000.0,272964919,9532799
hungary,2022,3.61,178000000000.0,698194234,16756078
hungary,2023,4.11,214000000000.0,804146116,17802020
iceland,2020,5.48,21629953194.0,801263,3654
iceland,2021,6.03,25770339317.0,3452588,11310
iceland,2022,3.79,28696453180.0,61732601,39720
iceland,2023,3.52,31452223862.0,76199292,67890
india,2020,7.86,2670000000000.0,1044159443,16585165
india,2021,6.38,3170000000000.0,9118579303,120086370
india,2022,4.82,3350000000000.0,15754923052,190088017
india,2023,4.17,3640000000000.0,16389526791,194117430
indonesia,2020,4.26,1060000000000.0,58450164,2083321
indonesia,2021,3.83,1190000000000.0,977394025,30244819
indonesia,2022,3.46,1320000000000.0,2179118828,56579378
indonesia,2023,3.31,1370000000000.0,2477176853,58963428
iraq,2020,15.78,181000000000.0,62279035,1571684
iraq,2021,16.17,210000000000.0,506703717,6569344
iraq,2022,15.51,287000000000.0,862682658,9174606
iraq,2023,15.45,269000000000.0,899923925,9261875
ireland,2020,5.62,437000000000.0,10099432,452710
ireland,2021,6.36,531000000000.0,116925292,1787256
ireland,2022,4.5,549000000000.0,553224076,2734241
ireland,2023,4.29,551000000000.0,625481096,3303799
israel,2020,4.17,411000000000.0,39870558,327675
israel,2021,4.81,490000000000.0,350006805,2408543
israel,2022,3.7,525000000000.0,1489692056,3977692
israel,2023,3.6,512000000000.0,1760058532,4569924
italy,2020,9.16,1910000000000.0,143476869,10301075
italy,2021,9.5,2180000000000.0,1475632893,43348085
italy,2022,8.07,2100000000000.0,6645044696,60888431
italy,2023,7.63,2300000000000.0,9454077785,69515852
jamaica,2020,6.5,13812421836.0,1096466,22491
jamaica,2021,5.19,14657586159.0,19875985,443984
jamaica,2022,4.08,17097760687.0,50594044,1123596
jamaica,2023,4.4,19423355367.0,56691453,1296148
japan,2020,2.81,5050000000000.0,17569985,347767
japan,2021,2.83,5040000000000.0,361911205,4755627
japan,2022,2.6,4260000000000.0,4659900710,12508130
japan,2023,2.6,4210000000000.0,12197401662,26533413
jordan,2020,19.21,43700383099.0,12899691,157672
jordan,2021,19.84,46296100141.0,253789249,3198417
jordan,2022,18.2,48764963380.0,598971562,5083951
jordan,2023,17.97,51088476338.0,637653905,5154530
kazakhstan,2020,4.89,171000000000.0,25118994,325069
kazakhstan,2021,5.55,197000000000.0,219107963,3515839
kazakhstan,2022,4.86,225000000000.0,513707962,6914438
kazakhstan,2023,4.82,262000000000.0,548024488,6960755
kenya,2020,5.62,101000000000.0,8528375,152251
kenya,2021,5.69,110000000000.0,67644274,1305901
kenya,2022,5.71,114000000000.0,120600067,2059992
kenya,2023,5.57,108000000000.0,125375833,2076317
kuwait,2020,3.56,111000000000.0,20249742,128510
kuwait,2021,3.0,148000000000.0,116774047,680357
kuwait,2022,2.17,184000000000.0,228602934,930514
kuwait,2023,2.13,165000000000.0,242908362,938050
latvia,2020,8.1,33379927435.0,1411389,22648
latvia,2021,7.51,38183326785.0,51688206,965571
latvia,2022,6.82,38014713596.0,289240109,2308375
latvia,2023,6.47,42572151720.0,356015363,2674094
lebanon,2020,13.28,31712128254.0,10392686,88046
lebanon,2021,12.67,23131941557.0,190602301,2529222
lebanon,2022,11.6,20992421949.0,406636688,3783084
lebanon,2023,11.54,20078620357.0,451284541,3978456
lesotho,2020,18.4,2053699870.0,257003,8888
lesotho,2021,18.23,2412130022.0,5163272,146589
lesotho,2022,16.69,2354980884.0,12256370,255472
lesotho,2023,16.46,2117962430.0,12740536,257987
liberia,2020,4.11,3176126300.0,276442,17140
liberia,2021,3.85,3513049500.0,1433674,68197
liberia,2022,2.98,4001047000.0,2779166,107044
liberia,2023,2.93,4390000000.0,2929093,107310
libya,2020,19.61,46854285441.0,7169212,105348
libya,2021,19.64,35217995647.0,85491595,1281458
libya,2022,19.28,43246297922.0,179390742,2316250
libya,2023,18.75,45096462972.0,185142293,2349505
lithuania,2020,8.49,57412038533.0,4570592,54250
lithuania,2021,7.11,67037321009.0,106905653,1615823
lithuania,2022,5.96,71033884500.0,404865273,3272732
lithuania,2023,6.84,79789877416.0,482467963,3528904
luxembourg,2020,6.77,73670782100.0,2706049,31553
luxembourg,2021,5.57,86386759695.0,23499653,186541
luxembourg,2022,4.59,80801680397.0,101245545,309314
luxembourg,2023,5.18,87574021092.0,139104207,363432
madagascar,2020,3.28,13051441204.0,2661973,35353
madagascar,2021,3.49,14354731964.0,13191601,267728
madagascar,2022,3.19,15325603273.0,23566618,501485
madagascar,2023,3.07,15869945478.0,24893765,519727
malawi,2020,5.73,11769313598.0,960125,28562
malawi,2021,5.66,12378129751.0,15880339,549963
malawi,2022,5.04,12429060151.0,31485478,961489
malawi,2023,5.03,12712150082.0,32400391,980369
malaysia,2020,4.54,337000000000.0,5871700,47461
malaysia,2021,4.64,374000000000.0,428056900,4194943
malaysia,2022,3.93,408000000000.0,1582424823,12849398
malaysia,2023,3.87,400000000000.0,1860506594,13536702
maldives,2020,5.43,3712604583.0,1737447,6141
maldives,2021,5.02,5252457370.0,21287506,59006
maldives,2022,4.42,6177118114.0,63365008,109391
maldives,2023,4.24,6590894302.0,68030603,114696
mali,2020,3.53,20698560939.0,709322,30209
mali,2021,3.97,22999245263.0,4875021,176975
mali,2022,2.39,22374051350.0,11322596,266590
mali,2023,2.96,24621545565.0,12077357,271195
malta,2020,4.35,16409900599.0,919320,11481
malta,2021,3.39,19723563355.0,11435137,152589
malta,2022,2.92,19239187084.0,35472490,269216
malta,2023,3.11,22210718401.0,43464840,315926
mauritania,2020,11.05,8260752385.0,1462743,71881
mauritania,2021,11.14,9222536364.0,9353692,211758
mauritania,2022,10.53,9557966698.0,21932666,357477
mauritania,2023,10.45,10651709314.0,23230091,363905
mauritius,2020,8.63,11408106446.0,103344,2689
mauritius,2021,7.72,11484348858.0,6346267,37688
mauritius,2022,6.32,12907767790.0,81123371,356306
mauritius,2023,5.57,14101195733.0,111436386,383302
mexico,2020,4.44,1120000000000.0,157312091,18353080
mexico,2021,4.02,1320000000000.0,1039445357,89674958
mexico,2022,3.26,1470000000000.0,2291152257,118859546
mexico,2023,2.77,1790000000000.0,2758790710,121827918
moldova,2020,1.19,11530746234.0,11772036,287702
moldova,2021,0.79,13691869264.0,94391151,2373846
moldova,2022,0.9,14525337524.0,193628739,4195533
moldova,2023,1.56,16711906746.0,225709992,4413830
mongolia,2020,6.59,13312981429.0,87925,12
mongolia,2021,7.75,15286441738.0,77728848,248215
mongolia,2022,6.21,17146471714.0,339230277,769146
mongolia,2023,5.5,20325121394.0,368547902,779640
montenegro,2020,17.88,4769996866.0,1972558,31555
montenegro,2021,16.54,5861427505.0,37582252,535948
montenegro,2022,14.85,6229801581.0,79449999,927739
montenegro,2023,14.62,7530593375.0,91253282,965805
morocco,2020,11.22,121000000000.0,30092799,510263
morocco,2021,10.58,142000000000.0,242958116,3950052
morocco,2022,9.49,131000000000.0,438723883,5854304
morocco,2023,9.04,144000000000.0,465324747,5948296
mozambique,2020,3.92,14235420174.0,1556925,11757
mozambique,2021,4.05,16168055475.0,36002788,434997
mozambique,2022,3.6,18883528581.0,82652666,803299
mozambique,2023,3.52,20954220984.0,85153314,819108
myanmar,2020,1.48,79006113643.0,6307654,137983
myanmar,2021,4.34,66345291160.0,102197141,3326278
myanmar,2022,3.06,62253049892.0,221037775,7089597
myanmar,2023,3.03,66757619000.0,232987058,7114806
namibia,2020,21.0,10583748542.0,1747034,18349
namibia,2021,20.92,12402486184.0,31060699,703163
namibia,2022,19.7,12569449123.0,59593877,1470706
namibia,2023,19.37,12408271448.0,62637792,1494550
nepal,2020,12.98,33433659301.0,20465536,176343
nepal,2021,12.19,36924841394.0,205475497,2740480
nepal,2022,10.84,41182939601.0,356406215,4358368
nepal,2023,10.63,41047772331.0,365988952,4390055
netherlands,2020,3.82,933000000000.0,49393941,1842107
netherlands,2021,4.21,1050000000000.0,628998522,6326702
netherlands,2022,3.53,1050000000000.0,2774769347,8138972
netherlands,2023,3.54,1150000000000.0,3143078283,8389890
new caledonia,2020,13.56,9454629468.0,6749,0
new caledonia,2021,11.54,10071349664.0,1108388,23730
new caledonia,2022,10.71,9623318718.0,22227140,112329
new zealand,2020,4.6,213000000000.0,370635,5893
new zealand,2021,3.78,254000000000.0,1431909,10416
new zealand,2022,3.3,250000000000.0,427527735,469484
new zealand,2023,3.73,255000000000.0,837812304,1097842
nicaragua,2020,6.2,12726422432.0,759055,27441
nicaragua,2021,6.12,14209020362.0,2910926,69454
nicaragua,2022,4.96,15634572502.0,5324221,86400
nicaragua,2023,4.72,17805842284.0,5785291,89425
niger,2020,0.59,13744653103.0,319450,23745
niger,2021,0.78,14915002436.0,2018625,71265
niger,2022,0.42,15433852714.0,3298612,112526
niger,2023,0.43,16698786973.0,3472415,114975
nigeria,2020,5.74,432000000000.0,10903292,207688
nigeria,2021,5.45,441000000000.0,63719093,820405
nigeria,2022,3.82,477000000000.0,94561749,1146723
nigeria,2023,3.07,364000000000.0,97389423,1151575
north america,2020,8.23,23000000000000.0,1952655395,69168295
north america,2021,5.59,25700000000000.0,15458120387,338000771
north america,2022,3.83,28200000000000.0,37516525787,527868282
north america,2023,3.84,29900000000000.0,45136843095,585123249
north macedonia,2020,16.58,12361036914.0,5631750,207988
north macedonia,2021,15.8,14000283827.0,57144108,2116011
north macedonia,2022,14.48,13932436550.0,115200682,3497082
north macedonia,2023,13.17,15763604288.0,127147756,3625990
norway,2020,4.42,368000000000.0,4307945,70257
norway,2021,4.36,503000000000.0,53558438,294627
norway,2022,3.23,596000000000.0,484318309,1186113
norway,2023,3.57,483000000000.0,542365210,2005996
oman,2020,2.94,75909492848.0,18461938,166894
oman,2021,1.9,87323797139.0,85947607,1137409
oman,2022,3.3,110000000000.0,140309118,1682051
oman,2023,3.18,106000000000.0,145797114,1689220
pakistan,2020,6.13,300000000000.0,64366052,1331270
pakistan,2021,6.34,349000000000.0,343925329,7667921
pakistan,2022,5.49,375000000000.0,556538520,11057468
pakistan,2023,5.41,338000000000.0,576566924,11187998
panama,2020,14.66,57059846500.0,21594139,431885
panama,2021,10.18,67396392500.0,146540594,2358872
panama,2022,8.09,76276116700.0,316033735,3013811
panama,2023,6.54,83318176900.0,378794019,3149512
papua new guinea,2020,2.88,23848447850.0,81110,927
papua new guinea,2021,3.0,26109413521.0,5795786,67468
papua new guinea,2022,2.69,31653185953.0,15876661,237078
papua new guinea,2023,2.66,30816367067.0,17097016,244333
paraguay,2020,7.55,35432178068.0,7680041,158764
paraguay,2021,7.31,39950899939.0,125016298,3832635
paraguay,2022,6.76,41952910858.0,242343564,6887826
paraguay,2023,5.79,43118053175.0,268326166,7250726
peru,2020,7.18,201000000000.0,140210400,14856771
peru,2021,5.1,226000000000.0,675530177,62217492
peru,2022,3.85,246000000000.0,1358937054,77791595
peru,2023,4.9,267000000000.0,1641818842,80334697
philippines,2020,2.52,362000000000.0,51654583,1012560
philippines,2021,3.4,394000000000.0,572393343,9689773
philippines,2022,2.6,404000000000.0,1368087835,21992847
philippines,2023,2.22,437000000000.0,1501456742,24240154
poland,2020,3.16,606000000000.0,65985577,1333084
poland,2021,3.27,689000000000.0,970617933,24204017
poland,2022,2.81,696000000000.0,2154763690,41840734
poland,2023,2.74,812000000000.0,2372235424,43599996
portugal,2020,6.8,230000000000.0,26698548,607209
portugal,2021,6.58,256000000000.0,330555668,6043888
portugal,2022,6.01,257000000000.0,1650554307,8517427
portugal,2023,6.51,290000000000.0,2042488894,9830855
qatar,2020,0.14,144000000000.0,25951524,40301
qatar,2021,0.14,180000000000.0,76248739,177716
qatar,2022,0.13,236000000000.0,144728874,245740
qatar,2023,0.13,213000000000.0,185398076,251486
romania,2020,5.04,252000000000.0,39515644,1187546
romania,2021,5.59,287000000000.0,415547285,12106446
romania,2022,5.61,296000000000.0,1067115036,23788347
romania,2023,5.59,351000000000.0,1245336393,24873032
rwanda,2020,11.83,10174386855.0,801497,5027
rwanda,2021,15.78,11078787095.0,19730768,253740
rwanda,2022,15.08,13316161006.0,47590475,531400
rwanda,2023,12.35,14331722700.0,48610091,535813
samoa,2020,7.44,868898358.0,26,0
samoa,2021,6.61,843923639.0,378,0
samoa,2022,5.05,832945206.0,3888089,7070
samoa,2023,4.98,938189444.0,6094607,11175
sao tome and principe,2020,9.69,471229485.0,190598,3438
sao tome and principe,2021,9.6,524402456.0,925504,13956
sao tome and principe,2022,8.99,540809499.0,2187765,26825
sao tome and principe,2023,9.07,678976265.0,2380499,28906
saudi arabia,2020,7.66,768000000000.0,63386621,844903
saudi arabia,2021,6.62,983000000000.0,171829135,2803370
saudi arabia,2022,5.59,1240000000000.0,281448539,3356081
saudi arabia,2023,4.01,1220000000000.0,305859665,3514805
senegal,2020,3.44,24530513038.0,2731776,50249
senegal,2021,3.44,27520784130.0,18970745,478720
senegal,2022,2.84,27783332223.0,31582403,715666
senegal,2023,2.8,30696331296.0,32481025,719394
serbia,2020,9.01,55874017669.0,14627049,194507
serbia,2021,9.84,66159884073.0,277705094,2598399
serbia,2022,8.44,66797564758.0,759555351,5844639
serbia,2023,8.27,81342660752.0,924773683,6559725
sierra leone,2020,3.51,6693888876.0,437351,15479
sierra leone,2021,3.56,7173379137.0,1860831,36247
sierra leone,2022,3.18,7124465160.0,2805182,45602
sierra leone,2023,3.15,6411787856.0,2833651,45625
singapore,2020,4.1,349000000000.0,12265276,6690
singapore,2021,4.64,437000000000.0,36811132,57161
singapore,2022,3.59,509000000000.0,516267756,505494
singapore,2023,3.44,505000000000.0,901586636,666758
slovenia,2020,4.97,53384760135.0,5325967,123052
slovenia,2021,4.74,61529280461.0,96648135,1713427
slovenia,2022,4.01,59927702746.0,376245024,2838674
slovenia,2023,3.65,69148468417.0,489286321,3418727
solomon islands,2020,0.86,1536145814.0,995,0
solomon islands,2021,0.88,1522794913.0,7082,0
solomon islands,2022,1.48,1566360686.0,5897613,46396
solomon islands,2023,1.46,1660896531.0,8257170,60077
somalia,2020,19.41,8628393720.0,794612,22867
somalia,2021,19.66,9483997390.0,5394237,281630
somalia,2022,19.05,10202767270.0,9711028,495267
somalia,2023,18.94,10968517090.0,9975874,496765
south africa,2020,29.22,338000000000.0,118908466,3198087
south africa,2021,34.01,421000000000.0,786528968,24151763
south africa,2022,33.27,407000000000.0,1416799574,36651976
south africa,2023,32.1,381000000000.0,1485308315,37446608
spain,2020,15.53,1290000000000.0,189930779,9217276
spain,2021,14.78,1460000000000.0,1483655476,29575399
spain,2022,12.92,1450000000000.0,4501519955,40036523
spain,2023,12.18,1620000000000.0,5083402369,44260667
