country,year,total_cases,total_deaths
Eswatini,2024,16337969,309659
Ethiopia,2020,12354621,195390
Ethiopia,2021,97727017,1562948
Ethiopia,2022,175305772,2735032
Ethiopia,2023,182728652,2764321
Ethiopia,2024,108751474,1643558
Europe,2020,1625730263,65387536
Europe,2021,18159649461,405479209
Europe,2022,71576386275,680456540
Europe,2023,90612645523,754105036
Europe,2024,54782272629,455677718
European Union (27),2020,1007941027,42341960
European Union (27),2021,11766951091,257820302
European Union (27),2022,51406745647,401670926
European Union (27),2023,66868596163,451566287
European Union (27),2024,40280325695,273655888
Falkland Islands,2020,3652,0
Falkland Islands,2021,21887,0
Falkland Islands,2022,437679,0
Falkland Islands,2023,701895,0
Falkland Islands,2024,417291,0
Faroe Islands,2020,93275,0
Faroe Islands,2021,472187,1002
Faroe Islands,2022,11654606,9652
Faroe Islands,2023,12650170,10220
Faroe Islands,2024,7520786,6076
Fiji,2020,7461,276
Fiji,2021,7931194,92533
Fiji,2022,23965035,310594
Fiji,2023,25174813,322682
Fiji,2024,14983199,192045
Finland,2020,3486987,94853
Finland,2021,42821945,384085
Finland,2022,403918832,1937007
Finland,2023,540262496,3660137
Finland,2024,325437504,2487144
France,2020,149840077,6822987
France,2021,1961827522,39103853
France,2022,10536950075,54178473
France,2023,14165793264,60942789
France,2024,8462455330,36474685
French Guiana,2020,1782099,10820
French Guiana,2021,10480032,63918
French Guiana,2022,31204061,144964
French Guiana,2023,35782459,150745
French Guiana,2024,21274897,89621
French Polynesia,2020,951737,4684
French Polynesia,2021,10302037,109851
French Polynesia,2022,25844987,235920
French Polynesia,2023,28644974,236885
French Polynesia,2024,17208442,141044
Gabon,2020,1673935,11044
Gabon,2021,8913447,58144
Gabon,2022,17465335,110922
Gabon,2023,17883826,111957
Gabon,2024,10644067,66619
Gambia,2020,495688,10737
Gambia,2021,2630421,83841
Gambia,2022,4425981,133776
Gambia,2023,4605487,135780
Gambia,2024,2739927,80724
Georgia,2020,8623904,81430
Georgia,2021,167783960,2321332
Georgia,2022,595139612,6010307
Georgia,2023,672573623,6230684
Georgia,2024,403987532,3721335
Germany,2020,112121257,3549363
Germany,2021,1365210276,32841872
Germany,2022,9585052828,52678382
Germany,2023,13980247134,63351757
Germany,2024,8340993052,37970443
Ghana,2020,8583770,30634
Ghana,2021,37422666,315545
Ghana,2022,60059412,526609
Ghana,2023,62618974,533616
Ghana,2024,37311173,317254
Gibraltar,2020,109011,205
Gibraltar,2021,1802709,32399
Gibraltar,2022,6542824,38124
Gibraltar,2023,7486981,41042
Gibraltar,2024,4459350,24521
Greece,2020,7956907,200860
Greece,2021,177720841,4372546
Greece,2022,1329271226,10928626
Greece,2023,1947474164,13534148
Greece,2024,1221613239,8453260
Greenland,2020,3966,0
Greenland,2021,130743,6
Greenland,2022,4167729,6693
Greenland,2023,4369415,7665
Greenland,2024,2597707,4557
Grenada,2020,7727,0
Grenada,2021,642119,18847
Grenada,2022,6081683,82660
Grenada,2023,7186489,86870
Grenada,2024,4273381,51646
Guadeloupe,2020,821612,14467
Guadeloupe,2021,10260895,150049
Guadeloupe,2022,58823399,346568
Guadeloupe,2023,73980561,371083
Guadeloupe,2024,44101995,221557
Guam,2020,579146,9761
Guam,2021,3589221,60473
Guam,2022,15224979,132759
Guam,2023,18789600,151269
Guam,2024,11346279,90923
Guatemala,2020,15973837,568345
Guatemala,2021,129919968,3658631
Guatemala,2022,344670353,6713961
Guatemala,2023,454192307,7365105
Guatemala,2024,271324999,4383829
Guernsey,2020,69742,4182
Guernsey,2021,530820,6750
Guernsey,2022,9148051,16606
Guernsey,2023,12843919,24287
Guernsey,2024,7665742,14539
Guinea,2020,2094961,12594
Guinea,2021,8770284,82392
Guinea,2022,13519486,162012
Guinea,2023,14048211,170715
Guinea,2024,8370124,101556
Guinea-Bissau,2020,477434,7253
Guinea-Bissau,2021,1644534,32449
Guinea-Bissau,2022,3036325,62141
Guinea-Bissau,2023,3451311,64500
Guinea-Bissau,2024,2086238,38409
Guyana,2020,517819,15601
Guyana,2021,7576754,186161
Guyana,2022,24015400,451926
Guyana,2023,26766783,473687
Guyana,2024,16073110,282257
Haiti,2020,1665250,39990
Haiti,2021,6517284,165919
Haiti,2022,11578095,305077
Haiti,2023,12483196,313900
Haiti,2024,7460968,186620
High-income countries,2020,3254837269,111756754
High-income countries,2021,30119210457,574522755
High-income countries,2022,1.13461E+11,914719716
High-income countries,2023,1.5372E+11,1055172081
High-income countries,2024,93007754731,647724108
Honduras,2020,13815273,398226
Honduras,2021,97316690,2567010
Honduras,2022,157708469,3970924
Honduras,2023,172349697,4055532
Honduras,2024,102606513,2411738
Hong Kong,2020,0,0
Hong Kong,2021,0,0
Hong Kong,2022,0,0
Hong Kong,2023,0,0
Hong Kong,2024,0,0
Hungary,2020,14655495,425041
Hungary,2021,272964919,9532799
Hungary,2022,698194234,16756078
Hungary,2023,804146116,17802020
Hungary,2024,483926675,10642568
Iceland,2020,801263,3654
Iceland,2021,3452588,11310
Iceland,2022,61732601,39720
Iceland,2023,76199292,67890
Iceland,2024,45565298,40362
India,2020,1044159443,16585165
India,2021,9118579303,120086370
India,2022,15754923052,190088017
India,2023,16389526791,194117430
India,2024,9772296613,115779086
Indonesia,2020,58450164,2083321
Indonesia,2021,977394025,30244819
Indonesia,2022,2179118828,56579378
Indonesia,2023,2477176853,58963428
Indonesia,2024,1481753734,35164797
Iran,2020,113083411,6000200
Iran,2021,1318507063,32797832
Iran,2022,2635379594,51401847
Iran,2023,2775118583,53276442
Iran,2024,1655153520,31860566
Iraq,2020,62279035,1571684
Iraq,2021,506703717,6569344
Iraq,2022,862682658,9174606
Iraq,2023,899923925,9261875
Iraq,2024,535023265,5506375
